State,"2017 Median
income","2017 Standard
error","2016 Median
income","2016 Standard
error","2015 Median
income","2015 Standard
error","2014 Median
income","2014 Standard
error","2013 (39) Median
income","2013 (39) Standard
error","2013 (38) Median
income","2013 (38) Standard
error","2012 Median
income","2012 Standard
error","2011 Median
income","2011 Standard
error","2010 (37) Median
income","2010 (37) Standard
error","2009 (36) Median
income","2009 (36) Standard
error","2008 Median
income","2008 Standard
error","2007 Median
income","2007 Standard
error","2006 Median
income","2006 Standard
error","2005 Median
income","2005 Standard
error","2004(revised) Median
income","2004(revised) Standard
error","2003 Median
income","2003 Standard
error","2002 Median
income","2002 Standard
error","2001 Median
income","2001 Standard
error","2000 (30) Median
income","2000 (30) Standard
error","1999 (29) Median
income","1999 (29) Standard
error","1998 Median
income","1998 Standard
error","1997 Median
income","1997 Standard
error","1996 Median
income","1996 Standard
error","1995 (25) Median
income","1995 (25) Standard
error","1994 (24) Median
income","1994 (24) Standard
error","1993 (23) Median
income","1993 (23) Standard
error","1992 (22) Median
income","1992 (22) Standard
error","1991 Median
income","1991 Standard
error","1990 Median
income","1990 Standard
error","1989 Median
income","1989 Standard
error","1988 Median
income","1988 Standard
error","1987 (21) Median
income","1987 (21) Standard
error","1986 Median
income","1986 Standard
error","1985 (20) Median
income","1985 (20) Standard
error","1984 (19) Median
income","1984 (19) Standard
error"
United States,"61,372",335,"60,309",445,"58,476",332,"55,613",406,"56,479",689,"54,744",291,"54,569",224,"54,673",274,"55,520",366,"57,010",244,"57,412",156,"59,534",166,"58,746",252,"58,291",195,"57,674",255,"57,875",251,"57,947",190,"58,609",179,"59,938",188,"60,062",280,"58,612",347,"56,533",261,"55,394",279,"54,600",316,"52,942",241,"52,334",245,"52,615",249,"53,025",253,"54,621",279,"55,329",304,"54,390",278,"53,945",263,"53,309",276,"51,455",279,"50,511",230
Alabama,"51,113",845,"48,237","2,350","46,053","3,538","43,820","1,585","49,876","5,809","43,616","2,440","46,490","2,705","46,520","2,208","46,120","2,700","45,789","1,035","50,761","1,893","50,028","1,683","46,255","1,236","46,745","1,529","47,651","1,695","49,774","2,111","51,380","1,451","48,800","1,396","50,566","1,530","53,502","1,755","54,664","1,970","48,794","2,455","47,294","1,963","41,646","2,029","44,626","2,558","42,017","1,823","44,323","1,817","42,852","1,880","42,607","1,892","40,740","2,048","39,852","1,822","40,848","2,374","40,965","1,895","39,941","1,656","39,007","1,363"
Alaska,"72,231","2,719","77,351","4,174","77,717","3,606","70,095","3,268","76,387","5,740","64,439","3,479","68,080","3,037","62,731","4,052","65,178","2,693","70,555","2,005","73,032","2,627","74,657","1,876","68,761","1,822","70,326","1,675","71,632","2,694","69,257","1,311","72,110","1,466","79,616","2,793","75,436","1,654","75,854","3,285","76,408","3,202","73,321","1,922","82,374","2,976","76,837","3,217","74,443","2,452","71,917","2,752","71,791","1,985","71,482","3,207","71,686","2,968","68,919","2,638","66,133","2,363","68,791","3,099","67,138","2,178","75,777","2,373","72,912","3,319"
Arizona,"61,125","2,642","58,328","2,013","54,060","2,078","51,050","2,388","55,453","4,601","53,335","5,092","50,320","3,125","53,108","2,648","52,839","2,509","52,385","1,421","53,544","1,284","55,957","1,843","56,864","1,519","56,931","1,599","57,039","1,487","55,000","1,900","54,292","1,370","59,270","2,000","56,788","1,727","54,600","1,672","55,906","1,892","50,018","1,981","49,377","1,988","49,452","2,179","51,349","1,268","51,110","1,876","50,420","1,869","54,101","1,579","53,309","2,081","54,651","2,316","52,811","1,684","55,369","1,846","54,600","1,537","52,019","1,621","48,280","1,372"
Arkansas,"48,829","2,642","46,894","2,212","44,282","1,627","46,560","2,639","41,503","2,532","42,075","2,518","41,735","3,008","45,114","2,020","43,477","2,776","41,847","1,041","45,180","1,363","48,349","1,598","45,164",935,"46,126","1,647","45,511","1,293","42,756","1,037","44,253","1,063","46,272","1,588","42,391","1,102","43,807","1,514","41,700","1,748","39,968","1,763","42,332","1,526","41,362","1,601","41,950","1,549","38,594","1,419","41,015","2,401","41,248","1,378","41,565","1,789","41,025","1,751","40,299","1,410","38,971","2,087","40,104","1,638","38,019","1,664","35,320","1,686"
California,"69,759","1,452","68,070","1,098","65,843","1,770","62,693",927,"64,078","1,909","60,635","1,289","60,990","1,324","58,292","1,505","61,162","1,332","64,291",709,"65,071",946,"66,054",732,"67,421",847,"65,122",579,"64,033",859,"65,867","1,094","64,817","1,047","65,596","1,009","66,827",979,"64,391","1,038","61,700",870,"60,641","1,320","60,576","1,277","59,300","1,158","57,975","1,016","57,078","1,091","59,943","1,080","59,253","1,206","60,726","1,031","63,183","1,183","60,507","1,267","62,401","1,114","62,115","1,220","58,782",763,"56,983",820
Colorado,"74,172","2,982","72,084","4,214","68,906","3,810","63,162","2,502","71,580","4,352","66,794","2,951","61,242","2,897","64,040","2,789","67,866","2,795","64,057","1,827","69,556","2,166","72,462","1,202","67,882","1,857","63,479","1,619","66,198","2,068","66,722","1,547","65,988","2,000","68,559","1,652","68,860","1,766","71,103","2,189","70,239","1,637","66,048","2,970","63,912","2,074","65,224","2,487","62,081","2,373","57,773","2,628","55,788","2,526","55,442","2,191","56,062","1,653","51,309","2,676","52,370","2,567","54,804","2,225","58,222","1,983","61,398","1,852","58,141","1,814"
Connecticut,"72,780","3,509","77,556","3,477","75,417","4,603","72,719","2,762","73,034","3,413","71,442","2,685","68,720","3,052","71,452","3,292","74,361","2,360","74,274","2,643","73,823","3,083","76,017","2,428","76,056","2,635","71,514","2,055","71,680","2,144","73,436","2,086","72,947","1,872","74,042","1,721","71,618","1,937","74,669","3,389","70,102","4,112","67,197","3,039","65,737","4,818","64,482","3,636","67,436","2,617","66,196","2,781","70,141","3,387","74,196","3,422","70,905","3,825","81,007","3,047","72,346","2,583","68,023","2,819","70,061","3,437","67,734","2,460","67,493","2,790"
Delaware,"62,318","3,300","59,294","3,056","59,759","3,510","59,619","3,078","57,013","4,585","55,040","2,620","52,382","2,114","59,704","1,906","62,211","2,541","59,686","2,040","57,867","1,584","64,697","2,559","63,910","2,108","64,468","1,354","62,507","1,849","65,492","1,841","67,841","2,302","68,844","2,037","71,893","2,153","68,817","3,366","62,490","2,642","65,742","3,150","61,351","2,188","55,965","2,961","58,864","1,954","60,413","1,422","61,274","2,392","57,353","1,955","56,191","2,030","61,381","2,169","60,942","2,331","60,534","1,811","54,869","2,595","50,065","2,976","58,181","2,314"
D.C.,"83,382","3,319","72,508","2,793","72,501","2,960","70,767","4,563","63,301","5,828","63,952","3,248","69,789","3,927","60,350","2,304","64,142","3,755","60,863","2,391","63,446","2,012","60,186","1,300","59,082","2,046","56,614","2,727","56,525","2,425","60,181","1,895","53,385","1,360","57,140","1,420","58,842","1,530","57,072","2,360","50,394","1,976","48,673","1,503","49,891","2,463","49,268","1,894","49,418","1,816","45,739","2,891","51,947","1,930","52,601","3,350","49,967","2,849","51,206","1,943","53,423","1,494","56,831","2,660","52,077","2,681","45,917","1,647","45,988","1,938"
